OBJECTNUMMER,COORDS,LNG,LAT
1,POINT(4.901013 52.367268),4.901013,52.367268
2,POINT(4.904817 52.360381),4.904817,52.360381
3,POINT(4.91637 52.364616),4.91637,52.364616
4,POINT(4.877596 52.385091),4.877596,52.385091
5,POINT(4.86797 52.383),4.86797,52.383
6,POINT(4.849486 52.375098),4.849486,52.375098
7,POINT(4.856102 52.370787),4.856102,52.370787
8,POINT(4.836459 52.334963),4.836459,52.334963
9,POINT(4.865351 52.355909),4.865351,52.355909
10,POINT(4.874595 52.335862),4.874595,52.335862
11,POINT(4.893397 52.323296),4.893397,52.323296
12,POINT(4.97379 52.356678),4.97379,52.356678
13,POINT(4.91174 52.396611),4.91174,52.396611
14,POINT(4.880937 52.421828),4.880937,52.421828
15,POINT(4.902474 52.401588),4.902474,52.401588
16,POINT(4.908516 52.399932),4.908516,52.399932
17,POINT(4.92049 52.383299),4.92049,52.383299
18,POINT(4.961935 52.38678),4.961935,52.38678
19,POINT(4.953736 52.302717),4.953736,52.302717
20,POINT(4.926375 52.405018),4.926375,52.405018
21,POINT(4.900223 52.376369),4.900223,52.376369
22,POINT(4.78396 52.360061),4.78396,52.360061
23,POINT(4.771702 52.379097),4.771702,52.379097
24,POINT(4.777446 52.374723),4.777446,52.374723
25,POINT(4.866094 52.387647),4.866094,52.387647
26,POINT(4.874576 52.336275),4.874576,52.336275
27,POINT(4.915546 52.333003),4.915546,52.333003
28,POINT(4.928357 52.34972),4.928357,52.34972
29,POINT(4.892655 52.349177),4.892655,52.349177
30,POINT(4.835207 52.360158),4.835207,52.360158
31,POINT(4.928222 52.369857),4.928222,52.369857
32,POINT(4.882287 52.363981),4.882287,52.363981
33,POINT(4.889364 52.365233),4.889364,52.365233
34,POINT(4.864191 52.387126),4.864191,52.387126
35,POINT(4.98829 52.3275),4.98829,52.3275
36,POINT(4.999801 52.311181),4.999801,52.311181
37,POINT(4.868976 52.386141),4.868976,52.386141
38,POINT(4.907465 52.366674),4.907465,52.366674
39,POINT(4.972181 52.305686),4.972181,52.305686
40,POINT(4.986555 52.376746),4.986555,52.376746
41,POINT(4.95465 52.385127),4.95465,52.385127
42,POINT(4.929123 52.352178),4.929123,52.352178
43,POINT(4.8509 52.384434),4.8509,52.384434
44,POINT(4.853312 52.376841),4.853312,52.376841
45,POINT(4.91208 52.381315),4.91208,52.381315
46,POINT(4.854467 52.387119),4.854467,52.387119
47,POINT(4.834717 52.386543),4.834717,52.386543
48,POINT(4.748494 52.401821),4.748494,52.401821
49,POINT(4.804307 52.390245),4.804307,52.390245
50,POINT(4.773882 52.457354),4.773882,52.457354
51,POINT(4.815869 52.341085),4.815869,52.341085
52,POINT(4.781932 52.373101),4.781932,52.373101
53,POINT(4.879231 52.29097),4.879231,52.29097
54,POINT(4.894846 52.322286),4.894846,52.322286
55,POINT(4.828854 52.335358),4.828854,52.335358
56,POINT(4.843804 52.369015),4.843804,52.369015
57,POINT(4.856901 52.324738),4.856901,52.324738
58,POINT(4.809822 52.331034),4.809822,52.331034
59,POINT(4.865698 52.360098),4.865698,52.360098
60,POINT(4.894641 52.354084),4.894641,52.354084
61,POINT(4.864189 52.368567),4.864189,52.368567
62,POINT(4.845792 52.368493),4.845792,52.368493
63,POINT(4.964156 52.289237),4.964156,52.289237
64,POINT(4.901477 52.371835),4.901477,52.371835
65,POINT(4.885438 52.368344),4.885438,52.368344
66,POINT(4.82633 52.230647),4.82633,52.230647
67,POINT(4.848984 52.30741),4.848984,52.30741
68,POINT(4.863108 52.285966),4.863108,52.285966
69,POINT(4.851394 52.276548),4.851394,52.276548
70,POINT(4.956739 52.348448),4.956739,52.348448
71,POINT(4.901164 52.342759),4.901164,52.342759
72,POINT(4.799706 52.338237),4.799706,52.338237
73,POINT(4.880107 52.341431),4.880107,52.341431
74,POINT(4.851649 52.365015),4.851649,52.365015
75,POINT(4.938599 52.340395),4.938599,52.340395
76,POINT(5.0021 52.345359),5.0021,52.345359
77,POINT(4.875326 52.337348),4.875326,52.337348
78,POINT(5.003585 52.309369),5.003585,52.309369
79,POINT(4.973489 52.359041),4.973489,52.359041
80,POINT(4.824717 52.314424),4.824717,52.314424
81,POINT(4.818029 52.288067),4.818029,52.288067
82,POINT(4.918527 52.370304),4.918527,52.370304
83,POINT(4.894412 52.341599),4.894412,52.341599
84,POINT(4.856829 52.362755),4.856829,52.362755
85,POINT(4.965582 52.372341),4.965582,52.372341
86,POINT(4.901064 52.314295),4.901064,52.314295
87,POINT(4.876571 52.304314),4.876571,52.304314
88,POINT(4.902201 52.296117),4.902201,52.296117
89,POINT(4.868693 52.280777),4.868693,52.280777
90,POINT(4.896336 52.337455),4.896336,52.337455
91,POINT(4.826886 52.345937),4.826886,52.345937
92,POINT(4.814668 52.345465),4.814668,52.345465
93,POINT(4.893165 52.418123),4.893165,52.418123
94,POINT(4.919092 52.365435),4.919092,52.365435
95,POINT(4.768478 52.333306),4.768478,52.333306
96,POINT(4.960819 52.403511),4.960819,52.403511
97,POINT(4.785019 52.375031),4.785019,52.375031
98,POINT(4.750364 52.4108),4.750364,52.4108
99,POINT(4.933085 52.401071),4.933085,52.401071
100,POINT(4.991039 52.359476),4.991039,52.359476
101,POINT(4.847793 52.386677),4.847793,52.386677
